EMIS_ID,Private_Tutoring,Study_Hours,Sleep_Hours,Mobile_Usage_Hours,Motivation_Level,Stress_Level,Study_Environment,Parental_Education,Peer_Influence,Physical_Health_Rating,Attendance_Percentage,Risk_Level,Private_Tutoring_Encoded,Motivation_Level_Encoded,Stress_Level_Encoded,Study_Environment_Encoded,Parental_Education_Encoded,Peer_Influence_Encoded,Physical_Health_Rating_Encoded
2703100948200261,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,no formal education,"no, they distract me a lot",poor,5.26,0,0,2,0,3,4,4,4
2703100947905775,no,0.75,8.0,3.0,not motivated at all,never,study on bed or floor,class 9 to 10,neither encourage nor distract,good,73.21,1,0,2,2,3,1,3,2
2703100947502924,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,56.46,0,0,2,4,0,4,3,2
6900600047601170,no,0.75,8.0,3.0,motivated,rarely,living room or kitchen,higher secondary / plus two or above,neither encourage nor distract,good,72.25,1,0,0,4,0,2,3,2
2703105517400543,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,73.68,1,0,2,4,4,4,3,2
2703100948007084,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,no formal education,neither encourage nor distract,good,62.68,1,0,2,0,0,4,3,2
2703100948200377,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,55.02,0,0,2,4,4,4,3,2
2703101338100066,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,higher secondary / plus two or above,neither encourage nor distract,good,78.47,2,0,2,4,0,2,3,2
2703100947603532,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,75.12,2,0,2,4,0,4,3,2
2703100947906656,yes,0.75,8.0,3.0,slightly motivated,rarely,with siblings,class 9 to 10,mostly encourage me,good,72.25,1,1,3,4,4,1,1,2
2703100948100175,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,77.03,2,0,2,0,0,5,0,1
2703100947906661,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,62.2,1,0,2,4,4,4,3,2
2703100948100132,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,neither encourage nor distract,good,66.51,1,0,2,0,0,5,3,2
7100100017400586,yes,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,66.51,1,1,2,4,0,4,3,2
2703105437802421,no,0.75,8.0,3.0,motivated,rarely,living room or kitchen,higher secondary / plus two or above,mostly encourage me,good,79.9,2,0,0,4,0,2,1,2
2703100947905657,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,68.42,1,0,2,4,4,4,3,2
1704801528000606,no,0.75,8.0,3.0,somewhat motivated,rarely,living room or kitchen,class 6 to 8,mostly encourage me,good,41.63,0,0,4,4,0,0,1,2
5004000518000480,yes,0.75,8.0,3.0,somewhat motivated,sometimes,study on bed or floor,no formal education,"no, they distract me a lot",very poor,72.73,1,1,4,5,3,4,4,5
2703100947402067,yes,0.75,8.0,3.0,very highly motivated,rarely,with siblings,higher secondary / plus two or above,neither encourage nor distract,good,63.16,1,1,5,4,4,2,3,2
2703100947905670,no,0.75,8.0,3.0,not motivated at all,never,study on bed or floor,no formal education,"no, they distract me a lot",very poor,70.81,1,0,2,2,3,4,4,5
2703100948200413,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,66.99,1,0,2,0,0,5,0,1
2703100947906024,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,66.51,1,0,2,0,0,5,0,1
2703100947906014,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,74.64,1,0,2,4,0,4,3,2
5400600058100036,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,no formal education,mostly distract me,fair,27.27,0,0,2,0,3,4,0,1
2703100948006863,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,up to class 5,neither encourage nor distract,good,69.38,1,0,2,4,4,5,3,2
5400600027901512,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,74.64,1,0,2,4,4,4,3,2
2703100947402051,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,66.51,1,0,2,0,0,5,0,1
2703100948200353,no,0.75,8.0,3.0,not motivated at all,almost always,with siblings,up to class 5,mostly distract me,fair,56.46,0,0,2,0,4,5,0,1
2703100948200175,yes,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,67.46,1,1,2,4,0,4,3,2
2703100948200185,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,higher secondary / plus two or above,neither encourage nor distract,good,74.16,1,0,2,4,0,2,3,2
2703100947402053,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,neither encourage nor distract,good,38.76,0,0,2,0,0,5,3,2
2703100947704287,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,72.25,1,0,2,4,0,4,3,2
2703100948200202,no,0.75,8.0,3.0,slightly motivated,rarely,with siblings,class 9 to 10,mostly encourage me,good,68.9,1,0,3,4,4,1,1,2
2703100948200396,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,60.29,1,0,2,4,4,4,3,2
2703100947906116,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,up to class 5,mostly distract me,fair,11.48,0,0,2,0,3,5,0,1
2703100947905781,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,73.68,1,0,2,4,4,4,3,2
2703100948007144,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,higher secondary / plus two or above,neither encourage nor distract,good,56.46,0,0,2,4,0,2,3,2
3300900118000168,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,up to class 5,neither encourage nor distract,good,26.32,0,0,2,0,3,5,3,2
2703100947905663,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,61.24,1,0,2,0,0,5,0,1
7502200087906530,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,68.9,1,0,2,0,0,5,0,1
2703100947603774,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,66.03,1,0,2,0,0,5,0,1
2703100948200404,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,71.29,1,0,2,4,0,4,3,2
2703100948200411,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,69.38,1,0,2,0,0,5,0,1
2703106748000475,yes,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,80.86,2,1,2,4,4,4,3,2
2703106748000474,no,0.75,8.0,3.0,not motivated at all,never,study on bed or floor,no formal education,"no, they distract me a lot",very poor,74.16,1,0,2,2,3,4,4,5
2703100948200330,yes,0.75,8.0,3.0,slightly motivated,rarely,with siblings,class 9 to 10,mostly encourage me,good,65.07,1,1,3,4,4,1,1,2
1609000357600483,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,57.89,0,0,2,4,4,4,3,2
2703100947905643,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,up to class 5,neither encourage nor distract,good,33.97,0,0,2,0,3,5,3,2
2703100947906039,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,50.24,0,0,2,0,0,5,0,1
7100600237600687,no,0.75,8.0,3.0,somewhat motivated,rarely,living room or kitchen,class 6 to 8,mostly encourage me,good,76.08,2,0,4,4,0,0,1,2
2703100947905825,no,0.75,8.0,3.0,motivated,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,60.29,1,0,0,4,0,4,3,2
2703100948006842,no,0.75,8.0,3.0,motivated,often,with siblings,higher secondary / plus two or above,mostly encourage me,fair,80.86,2,0,0,3,4,2,1,1
2703100947805106,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,neither encourage nor distract,good,68.42,1,0,2,0,0,5,3,2
1509700218003145,no,0.75,8.0,3.0,not motivated at all,sometimes,living room or kitchen,class 6 to 8,mostly encourage me,good,74.16,1,0,2,5,0,0,1,2
2703100948200368,no,0.75,8.0,3.0,motivated,rarely,with siblings,higher secondary / plus two or above,neither encourage nor distract,good,79.9,2,0,0,4,4,2,3,2
2703102557300278,no,0.75,8.0,3.0,motivated,sometimes,living room or kitchen,class 6 to 8,mostly encourage me,good,69.38,1,0,0,5,0,0,1,2
2703100948200380,no,0.75,8.0,3.0,somewhat motivated,sometimes,living room or kitchen,class 6 to 8,mostly encourage me,good,21.05,0,0,4,5,0,0,1,2
2703100948200180,yes,0.75,8.0,3.0,very highly motivated,rarely,with siblings,higher secondary / plus two or above,neither encourage nor distract,good,53.59,0,1,5,4,4,2,3,2
2703100948007017,yes,0.75,8.0,3.0,somewhat motivated,sometimes,living room or kitchen,class 6 to 8,mostly encourage me,good,74.16,1,1,4,5,0,0,1,2
1302400148000802,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,78.47,2,0,2,4,4,4,3,2
2703100947905607,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,higher secondary / plus two or above,neither encourage nor distract,good,66.99,1,0,2,4,0,2,3,2
2703100947905627,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,75.6,2,0,2,0,0,5,0,1
3206800038003947,no,0.75,8.0,3.0,not motivated at all,sometimes,living room or kitchen,class 6 to 8,mostly encourage me,good,66.51,1,0,2,5,0,0,1,2
2703106447801180,yes,0.75,8.0,3.0,motivated,sometimes,living room or kitchen,higher secondary / plus two or above,mostly encourage me,good,79.43,2,1,0,5,0,2,1,2
